,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
31732,49,entrepreneur,divorced,tertiary,no,1342,yes,yes,cellular,7,apr,253,1,140,1,failure,0
42333,71,retired,married,secondary,no,5715,no,no,cellular,17,nov,747,2,-1,0,unknown,1
31538,35,admin.,single,secondary,no,663,yes,no,cellular,2,apr,359,3,-1,0,unknown,0
21039,52,blue-collar,married,unknown,no,51,no,no,cellular,14,aug,935,2,-1,0,unknown,0
43618,35,unemployed,single,tertiary,no,415,no,no,cellular,4,may,164,2,89,2,success,1
35408,34,technician,divorced,secondary,no,592,yes,no,cellular,7,may,67,3,-1,0,unknown,0
14872,56,management,married,tertiary,no,23,yes,no,cellular,16,jul,156,2,-1,0,unknown,0
12088,47,management,married,tertiary,no,1105,no,no,unknown,20,jun,180,6,-1,0,unknown,0
11474,47,admin.,married,unknown,no,989,no,no,unknown,19,jun,116,1,-1,0,unknown,0
43169,67,retired,married,primary,no,8465,no,no,cellular,26,feb,234,1,-1,0,unknown,0
5321,25,student,single,secondary,no,1765,yes,no,unknown,23,may,135,2,-1,0,unknown,0
28691,46,unemployed,single,secondary,no,2052,no,no,cellular,30,jan,428,1,-1,0,unknown,0
15242,40,technician,married,secondary,no,500,yes,no,cellular,17,jul,175,3,-1,0,unknown,0
32465,44,management,married,tertiary,no,38,yes,no,telephone,16,apr,201,2,330,8,other,0
9162,38,self-employed,married,unknown,no,10855,no,no,unknown,5,jun,57,2,-1,0,unknown,0
25355,33,technician,divorced,secondary,yes,10,yes,yes,cellular,18,nov,167,5,-1,0,unknown,0
22712,33,management,single,tertiary,no,-2,no,yes,cellular,25,aug,147,6,-1,0,unknown,0
34408,37,management,single,tertiary,no,808,no,no,cellular,5,may,29,4,349,1,failure,0
13618,51,blue-collar,married,unknown,no,1432,no,no,cellular,9,jul,388,1,-1,0,unknown,0
31735,36,admin.,divorced,secondary,no,356,yes,no,cellular,7,apr,244,3,313,1,failure,0
10398,47,housemaid,divorced,primary,no,1405,no,no,unknown,12,jun,127,1,-1,0,unknown,0
26114,31,management,married,tertiary,no,35,yes,yes,cellular,19,nov,323,2,-1,0,unknown,0
1555,43,management,divorced,tertiary,no,0,yes,no,unknown,8,may,123,2,-1,0,unknown,0
21132,30,management,married,tertiary,no,1384,yes,no,telephone,14,aug,60,2,-1,0,unknown,0
16814,50,blue-collar,divorced,secondary,no,-54,no,no,cellular,24,jul,513,3,-1,0,unknown,0
33845,70,retired,divorced,primary,no,383,no,no,cellular,28,apr,50,2,-1,0,unknown,0
19922,31,management,single,tertiary,no,37,no,no,cellular,8,aug,669,2,-1,0,unknown,1
12711,41,services,married,secondary,no,841,yes,no,cellular,7,jul,250,2,-1,0,unknown,0
16420,32,blue-collar,married,secondary,no,476,yes,no,cellular,23,jul,956,9,-1,0,unknown,1
30000,40,services,single,secondary,no,4126,no,no,cellular,4,feb,671,2,-1,0,unknown,0
19407,50,technician,married,secondary,no,-70,no,no,cellular,6,aug,386,2,-1,0,unknown,0
12804,40,technician,married,unknown,no,0,no,yes,cellular,7,jul,161,1,-1,0,unknown,0
1997,34,admin.,divorced,primary,no,9569,yes,no,unknown,9,may,43,2,-1,0,unknown,0
37686,35,management,single,tertiary,no,-146,yes,no,cellular,14,may,279,1,266,1,failure,0
32947,35,management,married,tertiary,no,451,yes,no,cellular,17,apr,220,6,-1,0,unknown,0
34553,40,technician,single,tertiary,no,47,yes,no,cellular,5,may,159,1,365,1,failure,0
39191,43,services,single,secondary,no,-63,yes,no,cellular,18,may,92,3,374,1,other,0
24654,49,technician,married,secondary,no,652,no,no,cellular,17,nov,198,2,-1,0,unknown,0
21077,31,technician,single,secondary,no,2916,no,no,cellular,14,aug,174,2,-1,0,unknown,0
17922,48,unknown,married,unknown,no,286,no,no,cellular,30,jul,166,2,-1,0,unknown,0
15291,34,technician,married,secondary,no,652,yes,yes,cellular,18,jul,50,4,-1,0,unknown,0
1558,39,management,married,tertiary,no,429,yes,no,unknown,8,may,272,4,-1,0,unknown,0
11570,57,retired,married,secondary,no,2020,no,no,unknown,19,jun,93,4,-1,0,unknown,0
5081,26,services,single,secondary,no,186,yes,no,unknown,21,may,72,3,-1,0,unknown,0
8201,38,management,married,tertiary,no,-239,yes,no,unknown,2,jun,221,2,-1,0,unknown,0
15421,30,technician,married,secondary,no,24,yes,no,cellular,18,jul,112,3,-1,0,unknown,0
23028,49,blue-collar,married,secondary,no,1219,yes,no,cellular,26,aug,168,5,-1,0,unknown,0
37698,38,technician,single,secondary,no,1211,yes,no,cellular,14,may,498,1,358,1,success,0
738,55,retired,married,secondary,no,143,yes,no,unknown,6,may,42,3,-1,0,unknown,0
23784,35,technician,single,secondary,no,634,yes,no,cellular,29,aug,122,2,-1,0,unknown,0
709,33,blue-collar,married,secondary,no,372,yes,no,unknown,6,may,132,2,-1,0,unknown,0
36148,39,technician,single,secondary,no,283,yes,no,cellular,11,may,369,2,350,1,failure,0
26414,47,technician,married,tertiary,no,-744,yes,yes,cellular,20,nov,1256,1,-1,0,unknown,0
22303,35,management,single,secondary,no,0,no,no,cellular,21,aug,163,1,-1,0,unknown,0
5098,31,blue-collar,married,secondary,no,3298,yes,no,unknown,21,may,175,2,-1,0,unknown,0
43046,25,services,single,secondary,no,199,no,no,cellular,15,feb,101,2,-1,0,unknown,0
21466,37,technician,single,tertiary,no,453,no,no,cellular,18,aug,129,4,-1,0,unknown,0
10500,35,blue-collar,married,secondary,no,4723,yes,no,unknown,16,jun,57,8,-1,0,unknown,0
32149,34,management,married,tertiary,no,0,no,no,cellular,15,apr,125,2,-1,0,unknown,0
15726,32,services,married,secondary,no,2196,yes,no,cellular,21,jul,1156,1,-1,0,unknown,0
42917,43,management,married,tertiary,no,0,yes,no,cellular,5,feb,280,2,-1,0,unknown,0
16063,43,technician,married,primary,no,2309,yes,no,cellular,22,jul,578,1,-1,0,unknown,0
17497,51,admin.,single,secondary,no,2130,yes,no,telephone,28,jul,126,8,-1,0,unknown,0
41398,39,admin.,married,secondary,no,973,yes,no,cellular,2,sep,172,4,-1,0,unknown,0
15744,60,retired,married,tertiary,no,161,yes,no,cellular,21,jul,153,3,-1,0,unknown,0
34541,27,technician,single,secondary,no,1996,yes,no,cellular,5,may,345,1,-1,0,unknown,0
11427,45,services,divorced,secondary,no,1381,no,no,unknown,19,jun,653,2,-1,0,unknown,0
14731,40,services,married,secondary,no,884,no,no,cellular,15,jul,166,4,-1,0,unknown,0
6824,40,management,married,secondary,no,-240,no,yes,unknown,28,may,160,3,-1,0,unknown,0
20232,46,technician,married,secondary,no,159,no,yes,cellular,11,aug,139,4,-1,0,unknown,0
13299,41,blue-collar,married,primary,no,17,no,no,cellular,8,jul,117,3,-1,0,unknown,0
3116,31,admin.,married,secondary,no,0,yes,no,unknown,14,may,40,2,-1,0,unknown,0
29397,37,management,married,tertiary,no,4089,yes,no,cellular,2,feb,289,2,174,4,other,1
30891,27,management,single,tertiary,no,317,no,no,cellular,9,feb,59,3,-1,0,unknown,0
15345,31,management,married,tertiary,no,557,yes,no,cellular,18,jul,111,1,-1,0,unknown,0
44297,69,retired,married,secondary,no,0,no,no,cellular,27,jul,666,1,90,4,success,1
39265,31,management,single,secondary,no,1310,yes,no,cellular,18,may,12,2,-1,0,unknown,0
40147,24,management,single,tertiary,no,1004,yes,no,cellular,5,jun,133,1,67,2,failure,0
28650,29,management,single,tertiary,no,475,no,no,cellular,29,jan,346,2,-1,0,unknown,0
41504,57,admin.,divorced,secondary,no,0,no,no,cellular,9,sep,121,2,-1,0,unknown,0
28672,44,technician,married,secondary,no,1139,yes,no,cellular,30,jan,64,1,-1,0,unknown,0
34031,29,admin.,single,secondary,no,719,no,no,cellular,30,apr,76,1,-1,0,unknown,0
29418,26,services,single,tertiary,no,2803,no,no,cellular,3,feb,11,7,-1,0,unknown,0
39771,46,management,divorced,tertiary,no,4629,no,no,cellular,1,jun,67,1,41,1,failure,0
16089,48,services,single,primary,no,204,yes,no,cellular,22,jul,134,1,-1,0,unknown,0
7162,48,management,married,primary,no,1910,yes,no,unknown,29,may,413,2,-1,0,unknown,0
12267,36,management,divorced,tertiary,yes,20,no,yes,unknown,24,jun,62,5,-1,0,unknown,0
28913,27,technician,single,secondary,no,90,no,no,cellular,2,feb,82,3,-1,0,unknown,0
20240,30,technician,married,tertiary,no,1045,no,no,cellular,11,aug,65,4,-1,0,unknown,0
1549,50,services,single,secondary,no,72,no,no,unknown,8,may,141,2,-1,0,unknown,0
10994,49,unemployed,married,secondary,no,4110,no,no,unknown,17,jun,50,2,-1,0,unknown,0
35756,44,technician,married,secondary,no,227,yes,yes,cellular,8,may,364,1,262,2,failure,0
11893,37,technician,married,secondary,no,3728,no,no,unknown,20,jun,55,4,-1,0,unknown,0
4068,58,retired,married,primary,no,196,yes,no,unknown,19,may,35,1,-1,0,unknown,0
36281,50,admin.,divorced,secondary,no,-458,yes,no,cellular,11,may,294,2,-1,0,unknown,0
33385,37,technician,single,secondary,no,1127,yes,no,cellular,20,apr,249,2,-1,0,unknown,0
17418,31,management,single,tertiary,no,34,yes,no,cellular,28,jul,127,4,-1,0,unknown,0
43338,35,management,single,tertiary,no,5958,yes,no,cellular,22,mar,215,1,-1,0,unknown,1
34162,48,management,married,secondary,no,36686,no,no,cellular,30,apr,295,1,-1,0,unknown,0
36496,55,blue-collar,married,primary,no,1649,yes,no,cellular,12,may,52,3,-1,0,unknown,0
42288,33,management,single,tertiary,no,2465,no,no,cellular,16,nov,139,2,95,1,success,0
34725,38,technician,married,secondary,no,414,yes,no,cellular,5,may,147,1,-1,0,unknown,0
29822,32,technician,single,tertiary,no,1246,yes,no,cellular,4,feb,192,2,-1,0,unknown,1
25311,35,technician,married,tertiary,no,14232,yes,no,cellular,18,nov,372,2,-1,0,unknown,0
3803,28,admin.,married,tertiary,no,364,yes,no,unknown,16,may,169,1,-1,0,unknown,0
3566,55,admin.,married,secondary,no,1102,yes,no,unknown,15,may,126,2,-1,0,unknown,0
5174,32,blue-collar,married,secondary,no,783,yes,no,unknown,21,may,923,3,-1,0,unknown,1
25445,51,management,married,tertiary,no,-20,no,no,cellular,19,nov,139,3,-1,0,unknown,0
33563,38,technician,divorced,tertiary,no,304,yes,no,cellular,20,apr,8,2,-1,0,unknown,0
6707,40,admin.,married,secondary,yes,-279,yes,no,unknown,28,may,143,2,-1,0,unknown,0
24273,43,management,married,tertiary,no,0,yes,no,cellular,17,nov,110,1,-1,0,unknown,0
40649,25,self-employed,single,tertiary,no,557,no,no,telephone,5,aug,813,2,-1,0,unknown,0
30658,60,blue-collar,married,primary,no,5798,yes,no,cellular,6,feb,58,2,-1,0,unknown,0
6271,30,services,married,secondary,no,357,yes,no,unknown,27,may,659,4,-1,0,unknown,0
37377,59,services,married,secondary,no,2965,yes,no,cellular,13,may,1970,3,-1,0,unknown,1
43028,54,technician,married,secondary,no,10185,no,no,cellular,12,feb,251,1,186,3,success,1
1429,47,blue-collar,married,secondary,no,116,yes,no,unknown,8,may,376,2,-1,0,unknown,0
20571,30,management,single,tertiary,no,812,no,no,cellular,12,aug,91,4,-1,0,unknown,0
33,59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,0
26084,31,services,married,secondary,no,283,yes,no,cellular,19,nov,214,2,-1,0,unknown,0
5233,31,self-employed,single,tertiary,no,91,no,no,unknown,23,may,206,1,-1,0,unknown,0
20638,33,management,single,tertiary,no,87,no,no,cellular,12,aug,978,1,-1,0,unknown,1
1550,53,blue-collar,married,secondary,no,175,yes,no,unknown,8,may,49,4,-1,0,unknown,0
1888,29,technician,single,tertiary,no,542,yes,no,unknown,9,may,338,3,-1,0,unknown,0
17240,56,blue-collar,divorced,secondary,no,1346,no,yes,cellular,28,jul,240,3,-1,0,unknown,0
17520,30,admin.,married,unknown,no,4,yes,no,cellular,29,jul,176,21,-1,0,unknown,0
41491,56,retired,married,unknown,no,230,no,no,cellular,8,sep,167,1,92,2,failure,0
5221,37,technician,single,secondary,no,363,yes,no,unknown,23,may,110,3,-1,0,unknown,0
42938,24,technician,married,secondary,no,556,yes,no,cellular,8,feb,278,1,94,4,success,1
39314,47,admin.,married,secondary,no,-121,yes,yes,cellular,18,may,167,4,314,4,failure,0
42868,59,housemaid,married,secondary,no,0,no,no,telephone,3,feb,722,1,99,4,failure,0
19698,48,technician,married,secondary,no,127,no,yes,cellular,7,aug,524,5,-1,0,unknown,0
24663,37,admin.,married,tertiary,no,1988,no,no,cellular,17,nov,397,2,-1,0,unknown,0
2227,23,student,single,tertiary,no,250,yes,no,unknown,12,may,166,2,-1,0,unknown,0
5471,35,admin.,single,secondary,no,-413,yes,no,unknown,23,may,178,1,-1,0,unknown,0
39373,31,management,single,tertiary,no,12607,no,no,cellular,22,may,150,1,-1,0,unknown,0
2207,48,blue-collar,single,primary,no,396,yes,no,unknown,12,may,194,3,-1,0,unknown,0
9351,33,blue-collar,married,primary,no,3704,yes,no,unknown,6,jun,447,2,-1,0,unknown,0
26969,30,blue-collar,single,primary,no,1395,yes,no,cellular,21,nov,569,1,175,3,other,0
9023,37,blue-collar,married,primary,no,213,no,yes,unknown,5,jun,323,1,-1,0,unknown,0
27661,32,admin.,married,secondary,no,4764,no,no,telephone,21,nov,69,2,-1,0,unknown,0
37330,48,services,divorced,secondary,no,-276,yes,yes,cellular,13,may,674,1,-1,0,unknown,1
11504,29,blue-collar,married,secondary,no,508,yes,yes,unknown,19,jun,262,5,-1,0,unknown,0
34892,31,unemployed,single,secondary,no,209,yes,no,cellular,6,may,193,1,-1,0,unknown,0
6165,29,technician,single,secondary,no,115,no,no,unknown,27,may,340,1,-1,0,unknown,0
31855,35,unemployed,married,tertiary,no,1057,yes,no,cellular,8,apr,902,2,-1,0,unknown,0
33807,35,technician,single,secondary,no,183,no,no,cellular,24,apr,78,2,-1,0,unknown,0
18503,31,management,single,tertiary,no,935,no,no,cellular,31,jul,64,5,-1,0,unknown,0
28191,30,management,single,tertiary,no,1422,yes,yes,cellular,29,jan,305,1,223,27,failure,0
6052,35,blue-collar,married,secondary,no,229,no,no,unknown,26,may,435,3,-1,0,unknown,0
239,49,blue-collar,divorced,primary,no,-9,yes,yes,unknown,5,may,389,1,-1,0,unknown,0
616,31,blue-collar,single,tertiary,no,60,yes,yes,unknown,6,may,389,1,-1,0,unknown,0
19949,59,technician,divorced,tertiary,no,0,no,no,cellular,8,aug,124,4,-1,0,unknown,0
8362,31,blue-collar,married,secondary,no,-446,no,no,unknown,3,jun,180,1,-1,0,unknown,0
3284,47,services,married,secondary,no,3216,yes,no,unknown,15,may,451,2,-1,0,unknown,0
19827,46,management,married,tertiary,no,1808,no,no,cellular,8,aug,172,2,-1,0,unknown,0
3638,60,retired,married,primary,no,894,yes,no,unknown,15,may,65,7,-1,0,unknown,0
14558,38,self-employed,married,tertiary,no,0,no,yes,cellular,15,jul,77,3,-1,0,unknown,0
33512,37,management,single,tertiary,no,72,yes,yes,cellular,20,apr,885,5,150,7,failure,1
13969,49,blue-collar,married,primary,no,305,yes,yes,telephone,10,jul,834,10,-1,0,unknown,0
17011,43,blue-collar,married,secondary,no,1343,yes,yes,cellular,25,jul,211,2,-1,0,unknown,0
24314,40,services,single,secondary,no,856,yes,no,telephone,17,nov,70,1,-1,0,unknown,0
7278,31,blue-collar,married,primary,no,490,yes,no,unknown,29,may,180,2,-1,0,unknown,0
28627,31,admin.,single,secondary,no,0,no,no,telephone,29,jan,528,3,-1,0,unknown,0
30792,36,technician,single,secondary,no,1102,no,no,telephone,6,feb,236,4,-1,0,unknown,0
43,54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown,0
42337,52,technician,married,secondary,no,234,no,no,cellular,17,nov,255,1,-1,0,unknown,1
